,mt_moto,mt_auto,mt_remorque,mt_assur_vie,mt_incendie,nb_RC_agri,nb_bateau,nb_RC_entreprise,pouvoir_achat,PCSouvr,niv_etud_bas,nbpers_au_foyer,proprietaire,mt_RC,sans_religion,nb_invalidite,type_client,PCSinter,concubin,assur_sante_prive
61,0,6,0,0,0,0,0,0,1,3,8,2,0,0,3,0,6,2,0,2
62,0,6,0,0,0,0,0,0,6,3,6,2,2,0,5,0,3,3,2,1
63,0,6,0,0,0,0,0,0,7,0,6,2,2,0,4,0,2,9,1,4
64,0,7,3,0,0,0,0,0,3,1,4,3,6,0,3,0,8,2,1,4
65,0,0,0,0,3,0,0,0,6,3,3,2,5,0,4,0,1,2,0,2
66,0,0,0,0,4,0,0,0,4,1,1,3,3,0,4,0,3,5,1,5
67,0,6,0,0,0,0,0,0,1,2,5,1,0,0,4,0,6,4,1,0
68,0,6,2,0,0,0,0,0,7,0,6,2,2,0,4,0,2,9,1,4
69,0,0,0,0,2,0,0,0,3,5,5,2,0,2,2,0,5,4,5,0
70,0,5,0,0,1,0,0,0,6,5,6,3,5,0,0,0,8,0,0,2
71,0,5,0,0,0,0,0,0,3,1,5,2,8,0,1,0,10,1,0,4
72,0,0,0,0,2,0,0,0,8,0,0,3,9,0,0,0,3,2,0,7
73,0,0,0,0,4,0,0,0,3,0,9,4,0,2,3,0,8,0,0,0
74,0,0,0,0,0,0,0,0,4,2,6,2,5,0,3,0,9,2,1,2
75,0,0,0,0,0,0,0,0,3,0,7,2,2,0,2,0,8,2,0,2
76,0,5,0,0,0,0,0,0,7,1,2,4,8,0,2,0,2,5,1,3
77,0,6,0,0,4,0,0,0,3,3,8,3,6,2,5,0,8,1,3,0
78,0,5,0,0,0,0,0,0,5,2,6,3,2,0,3,0,9,2,0,3
79,0,6,0,4,6,1,0,0,4,3,9,4,5,0,2,0,10,0,0,0
80,0,0,0,4,4,0,0,0,7,2,2,3,9,0,5,0,3,3,3,7
81,4,7,2,0,2,0,0,0,8,0,0,3,9,0,0,0,3,2,0,7
82,0,6,0,0,0,0,0,0,5,2,5,2,3,0,3,0,9,3,2,2
83,0,0,0,0,6,0,0,0,6,0,0,2,9,0,0,0,1,2,0,9
84,0,6,0,0,4,0,0,0,5,4,4,3,8,2,0,0,9,0,0,4
85,0,0,0,0,0,0,0,0,1,4,9,2,0,0,5,0,7,0,0,0
86,0,6,0,0,0,0,0,0,6,2,6,2,4,0,5,0,8,1,2,2
87,0,5,0,0,0,0,0,0,3,4,1,1,1,0,4,0,5,4,1,1
88,0,6,0,0,4,0,0,0,8,1,2,4,8,2,4,0,3,5,1,4
89,0,5,0,0,0,0,0,0,6,2,5,2,9,0,0,0,1,5,1,3
90,0,0,0,0,0,0,0,0,6,0,6,4,9,0,4,0,8,3,1,4
91,0,6,0,0,4,0,0,0,6,1,1,3,9,2,4,0,3,2,0,7
92,0,0,0,0,0,0,0,0,7,0,6,2,2,0,4,0,2,9,1,4
93,0,0,0,0,4,0,0,0,8,2,3,3,6,2,3,0,2,4,1,3
94,0,0,0,0,1,0,0,0,1,5,8,4,5,0,6,0,7,4,0,5
95,0,0,0,0,4,0,0,0,3,2,7,3,7,0,3,0,8,1,1,2
96,0,0,0,0,3,0,0,0,5,4,6,3,0,2,4,0,9,3,0,0
97,0,0,0,0,0,0,0,0,5,1,4,3,6,0,5,0,8,2,1,4
98,0,0,0,0,0,0,0,0,6,3,5,3,7,2,2,0,8,0,0,3
99,0,0,0,0,2,0,0,0,3,0,4,2,6,2,2,0,8,3,2,2
100,0,6,0,0,4,0,0,0,3,3,5,4,7,2,3,0,8,2,0,3
101,0,6,0,0,0,0,0,0,3,2,4,2,2,0,3,0,8,3,0,3
102,0,6,0,0,4,0,0,0,7,0,4,4,5,2,0,0,3,2,0,2
103,0,5,0,0,0,0,0,0,3,1,7,2,1,0,2,0,8,2,1,1
104,5,6,0,0,0,0,0,0,3,0,6,3,9,0,0,0,8,2,0,6
105,0,0,0,0,3,0,0,0,3,0,3,5,9,0,3,0,10,3,0,0
106,0,0,0,0,0,0,0,0,8,3,2,4,5,0,3,0,3,5,1,4
107,0,5,0,0,0,0,0,0,6,1,1,3,2,0,4,0,2,4,0,4
108,0,0,0,0,3,0,0,0,2,0,4,2,9,2,2,0,5,3,0,2
109,0,0,0,0,0,0,0,0,8,3,5,3,8,0,3,0,2,2,1,4
110,0,5,0,0,0,0,0,0,2,3,7,3,1,2,4,0,5,2,1,2
111,0,6,0,0,4,0,0,0,5,3,2,2,3,2,0,0,9,3,0,2
112,0,0,0,0,4,0,0,0,8,0,0,5,9,2,4,0,3,2,0,5
113,0,6,0,0,4,0,0,0,7,1,2,3,4,2,5,0,3,8,0,4
114,0,0,0,0,0,0,0,0,4,1,3,3,7,2,4,0,10,2,0,4
115,0,6,0,0,3,0,0,0,3,3,0,1,1,2,4,0,5,3,1,3
116,0,0,0,0,0,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0
117,0,0,0,0,3,0,0,0,6,3,5,3,9,0,0,0,1,3,1,4
118,0,0,0,0,3,0,0,0,6,1,5,2,7,0,5,0,3,4,1,2
119,0,5,0,0,0,0,0,0,2,4,4,2,0,0,4,0,5,5,3,1
120,0,0,0,0,0,0,0,0,6,0,5,3,0,2,5,0,8,0,0,0
121,0,0,0,0,2,0,0,0,1,5,8,2,0,2,3,0,7,4,0,0
122,0,6,0,0,4,0,0,0,4,3,3,3,7,0,4,0,8,4,1,2
123,0,0,0,0,2,0,0,0,4,6,6,3,0,0,4,0,9,2,1,2
124,0,0,0,0,3,0,0,0,7,0,4,2,9,0,0,0,3,2,0,2
125,0,5,0,0,0,0,0,0,1,3,6,2,7,0,3,0,7,3,1,3
126,0,0,0,0,4,0,0,0,7,0,2,3,9,0,2,0,2,5,0,7
127,0,6,0,0,0,0,0,0,3,4,2,2,1,0,3,0,5,3,3,1
128,0,6,0,0,3,0,0,0,3,5,9,3,0,0,0,0,9,0,0,2
129,0,6,0,0,2,0,0,0,4,2,3,2,2,2,1,0,9,5,1,3
130,0,5,0,0,0,0,0,0,4,1,6,3,8,0,4,0,8,5,0,1
131,0,6,0,0,0,0,0,0,2,4,5,2,4,0,3,0,5,2,1,1
132,0,6,0,0,0,0,0,0,7,2,6,4,9,0,7,0,3,7,0,0
133,0,0,0,0,3,0,0,0,2,2,5,2,1,2,6,0,5,3,2,1
134,0,0,0,0,3,0,0,0,2,3,2,1,0,0,2,0,5,6,4,3
135,0,0,0,0,2,0,0,0,3,0,5,3,2,2,4,0,8,9,1,4
136,0,0,0,0,4,0,0,0,5,3,6,2,4,0,3,0,8,2,1,3
137,0,0,0,0,4,0,0,0,4,2,7,3,5,2,5,0,9,3,0,2
138,0,0,0,0,3,0,0,0,8,2,2,3,2,1,4,0,3,6,2,4
139,0,0,0,0,0,0,0,0,3,1,5,3,9,2,2,0,10,1,0,7
140,0,6,0,0,4,0,0,0,7,1,2,3,8,2,4,0,2,3,2,5
141,0,0,0,0,2,0,0,0,1,2,5,2,2,1,2,0,6,5,0,0
142,0,0,0,0,0,0,0,0,6,0,4,2,2,0,4,0,1,2,0,5
143,0,6,0,0,3,0,0,0,1,3,6,3,0,2,6,0,7,0,0,0
144,0,6,0,0,4,0,0,0,4,1,1,2,3,2,5,0,9,2,0,6
145,0,5,0,0,0,0,0,0,3,3,6,3,6,0,4,0,8,4,1,0
146,0,0,0,0,2,0,0,0,3,2,7,3,8,0,3,0,8,2,0,1
147,0,0,0,0,4,0,0,0,8,0,2,2,9,0,6,0,1,1,4,7
148,0,6,0,0,0,0,0,0,7,4,0,2,6,0,2,0,3,0,0,4
149,0,0,0,0,0,0,0,0,2,3,5,3,5,0,4,0,5,0,1,2
150,0,6,0,5,4,0,0,0,6,0,2,3,9,2,3,0,3,0,0,5
151,0,0,0,0,0,0,0,0,4,3,3,3,6,0,0,0,1,4,0,4
152,0,6,0,0,6,0,0,0,4,1,5,2,7,0,2,0,9,1,0,4
153,0,6,0,0,0,0,0,0,6,2,6,2,5,0,3,0,1,2,1,2
154,0,0,0,0,0,0,0,0,8,2,0,3,4,2,3,0,2,3,0,8
155,0,0,0,0,0,0,0,0,4,2,7,3,3,0,5,0,3,2,0,2
156,0,0,0,0,0,0,0,0,5,1,5,3,8,0,5,0,8,4,2,1
157,0,0,0,0,0,0,0,0,8,1,4,3,4,0,6,0,2,3,0,2
158,0,0,0,0,0,0,0,0,3,2,5,3,1,2,6,0,8,3,0,0
159,0,5,0,0,0,0,0,0,2,5,7,2,3,0,6,0,7,0,0,2
160,0,0,0,0,0,0,0,0,1,2,9,1,0,0,2,0,6,2,1,1
161,0,6,0,0,3,0,0,0,1,4,5,3,0,2,4,0,7,4,0,0
162,0,6,0,0,0,0,0,0,3,3,5,3,5,2,3,0,8,2,1,2
163,0,5,0,0,0,0,0,0,3,1,5,3,7,0,3,0,8,2,0,3
164,0,6,0,6,4,0,0,0,3,4,6,3,7,2,2,0,8,4,0,2
165,0,6,0,0,4,0,0,0,7,0,2,3,9,2,2,0,2,5,0,7
166,0,6,0,0,3,0,0,0,2,4,4,2,0,2,1,0,5,3,2,3
167,0,0,0,0,2,0,0,0,1,5,6,2,9,0,0,0,7,0,0,2
168,0,0,0,0,3,0,0,0,6,0,3,2,1,0,3,0,1,4,0,5
169,0,6,0,0,0,0,0,0,3,2,3,2,0,0,2,0,5,5,2,4
170,0,6,0,0,3,0,0,0,4,2,6,2,5,2,4,0,8,4,1,2
171,0,5,0,0,3,0,0,0,2,0,4,2,4,2,2,0,5,0,1,2
172,0,6,0,0,2,0,0,0,2,4,4,2,1,2,4,0,5,2,3,1
173,0,0,0,0,0,0,0,0,7,2,3,2,8,1,3,0,1,3,1,5
174,0,5,0,0,4,0,0,1,6,5,6,3,5,2,0,0,8,0,0,2
175,0,0,0,0,5,0,0,0,3,0,3,3,9,0,3,0,8,2,2,3
176,0,6,0,3,3,0,0,0,5,4,5,2,4,2,4,0,9,3,2,2
177,0,6,0,0,0,0,0,0,3,2,5,2,6,0,2,0,8,3,1,1
178,5,6,0,0,0,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0
179,0,6,0,3,4,0,0,0,5,3,6,3,4,2,3,0,9,0,1,4
180,0,0,0,0,0,0,0,0,1,1,2,2,4,0,2,0,7,7,0,2
181,0,6,0,0,4,0,0,0,2,3,7,4,3,2,4,0,5,2,1,4
182,0,6,0,0,0,0,0,0,8,0,0,3,9,0,3,0,2,0,0,7
183,0,0,0,0,4,0,0,0,6,1,3,3,7,0,5,0,8,5,0,4
184,0,0,0,0,3,0,0,0,1,2,6,3,3,2,3,0,7,2,1,2
185,0,5,0,0,0,0,0,0,6,0,4,3,6,0,5,0,1,1,0,6
186,0,6,0,0,0,0,0,0,2,5,7,3,5,0,4,0,5,1,0,2
187,0,0,0,0,4,0,0,0,4,2,3,3,7,2,4,0,8,6,3,2
188,0,0,0,0,5,0,0,0,2,8,6,1,1,0,1,0,7,1,0,0
189,0,6,0,0,2,0,0,0,4,5,6,2,1,0,3,0,9,2,1,3
190,0,6,0,0,0,0,0,0,3,4,9,3,9,2,0,0,10,0,0,0
191,0,5,0,2,2,0,0,0,1,2,4,3,5,1,2,0,7,4,1,3
192,0,0,0,0,7,0,0,0,6,2,5,3,2,0,3,0,1,4,0,1
193,0,0,0,0,4,0,0,0,7,0,3,2,0,0,3,0,2,6,0,7
194,0,0,0,0,0,0,0,0,2,3,3,2,4,0,5,0,5,5,2,2
195,0,6,0,0,0,0,0,0,3,0,7,3,5,0,5,0,8,3,0,1
196,0,0,0,0,0,0,0,0,7,1,2,3,9,0,2,0,2,2,0,7
197,0,5,0,2,4,0,0,0,6,2,2,3,6,2,5,0,3,4,1,4
198,0,6,0,0,4,0,0,0,4,1,1,2,3,2,5,0,9,2,0,6
199,0,0,0,0,4,0,0,0,3,2,3,4,9,0,3,0,8,4,0,2
200,0,0,0,0,4,0,0,0,3,1,5,2,8,0,3,0,8,2,0,3
201,0,0,0,0,0,0,0,0,6,2,5,2,7,0,0,0,1,2,0,9
202,0,6,0,0,3,0,0,0,4,2,2,3,0,2,4,0,3,7,0,0
203,0,5,0,0,0,0,0,0,6,3,2,3,4,0,4,0,3,4,0,3
204,0,0,0,0,3,0,0,0,4,4,7,4,1,2,5,0,3,3,1,2
205,0,0,0,1,0,0,0,0,2,3,2,2,3,0,4,0,4,4,1,3
206,0,6,0,0,0,0,0,0,3,4,9,3,4,0,6,0,9,0,0,0
207,0,6,0,0,4,0,0,0,3,4,8,1,1,1,5,0,7,0,0,2
208,0,0,0,0,0,0,0,0,6,1,1,3,7,0,3,0,1,4,1,4
209,0,6,0,0,4,0,0,0,8,0,0,2,9,2,0,0,1,3,0,6
210,0,6,0,0,4,0,0,0,3,1,7,2,1,2,2,0,8,2,1,1
211,0,0,0,0,0,0,0,0,3,2,5,3,0,0,3,0,8,3,0,2
212,0,6,0,0,3,0,0,0,6,3,5,3,0,2,4,0,3,4,0,3
213,0,6,0,3,2,0,0,0,2,0,7,2,0,2,4,0,7,3,0,0
214,0,0,0,0,3,0,0,0,6,0,2,2,9,2,7,0,1,0,0,7
215,0,6,0,0,3,0,0,0,2,5,9,2,0,1,6,0,5,0,1,1
216,0,0,0,0,3,0,0,0,1,4,9,2,0,0,7,0,7,2,0,0
217,0,0,0,0,0,0,0,0,3,3,5,3,5,0,4,0,8,0,2,4
218,0,6,0,0,4,0,0,0,6,1,3,3,7,2,5,0,8,5,0,4
219,0,5,0,0,0,0,0,0,4,2,7,2,6,0,2,0,9,3,1,2
220,0,0,0,0,1,0,0,0,1,5,3,2,1,0,6,0,4,0,2,4
221,0,0,0,0,0,0,0,0,4,5,6,3,0,0,5,0,9,0,0,0
222,0,5,0,0,0,0,0,0,5,3,5,4,7,2,3,0,9,2,0,3
223,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,3,5,1,5
224,0,0,0,0,4,0,0,1,3,3,6,3,7,0,4,0,8,2,0,2
225,0,0,0,0,0,0,0,0,3,2,6,3,3,2,3,0,8,2,1,2
226,0,6,0,0,4,0,0,0,6,2,5,3,6,2,4,0,3,3,0,3
227,0,0,0,0,1,0,0,0,4,3,6,3,4,0,3,0,9,2,1,2
228,0,0,0,0,0,0,0,0,4,0,7,2,9,0,7,0,8,4,4,2
229,0,6,0,4,4,0,0,0,6,1,1,2,3,2,5,0,1,2,0,6
230,0,0,0,3,0,0,0,0,3,3,5,3,6,0,3,0,8,3,1,3
231,0,6,0,0,4,0,0,0,4,3,3,3,9,2,5,0,3,4,1,1
232,0,0,0,0,0,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0
233,0,0,0,0,3,0,0,0,3,4,4,1,1,2,3,0,5,2,2,1
234,0,0,0,0,4,0,0,0,5,2,6,2,7,0,2,0,8,3,1,1
235,0,0,0,0,0,0,0,0,4,6,6,4,9,0,4,0,9,0,0,3
236,0,0,0,0,3,0,0,0,4,2,3,3,8,2,3,0,3,4,2,3
237,0,0,0,0,4,0,0,0,3,0,7,3,7,0,4,0,8,0,0,1
238,0,6,0,0,6,0,0,1,6,4,5,3,6,2,2,0,1,4,0,2
239,0,0,0,0,0,0,0,0,3,2,6,2,9,0,2,0,8,0,0,3
240,0,0,0,0,0,0,0,0,5,3,4,3,7,1,3,0,8,2,1,4
241,0,6,2,0,1,1,0,0,6,4,4,3,9,0,4,0,3,4,0,5
242,0,6,0,2,0,1,0,0,4,0,4,2,9,0,3,0,10,2,2,3
243,0,6,0,0,4,0,0,0,5,2,2,2,7,2,3,0,8,6,2,3
244,0,0,0,0,2,0,0,0,1,1,5,2,5,0,4,0,7,2,1,3
245,0,0,0,0,0,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0
246,0,6,0,0,0,0,0,0,3,3,5,2,8,0,2,0,7,4,2,3
247,0,0,0,0,3,0,0,0,4,5,8,3,1,1,2,0,9,1,1,1
248,0,6,0,0,0,0,0,0,4,0,4,2,1,0,5,0,3,3,0,1
249,0,0,0,0,3,0,0,0,3,1,5,3,4,1,5,0,8,4,0,2
250,0,0,0,0,0,0,0,0,1,3,7,2,1,0,5,0,7,3,2,1
251,0,0,0,0,0,0,0,0,1,2,5,2,6,0,4,0,7,1,1,2
252,0,5,0,0,3,0,0,0,6,0,0,4,5,2,4,0,1,0,1,4
253,0,0,0,0,0,0,0,0,3,3,4,2,2,0,6,0,8,4,2,4
254,0,6,0,0,4,0,0,0,3,2,5,1,4,2,2,0,8,2,0,5
255,0,5,0,0,3,0,0,0,3,0,6,3,5,2,4,0,1,2,0,4
256,0,0,0,0,2,0,0,0,3,4,1,1,1,2,4,0,5,4,1,1
257,0,0,0,0,0,0,0,0,6,0,4,3,6,0,5,0,1,1,0,6
258,0,0,0,0,3,0,0,0,1,2,3,2,1,2,2,0,6,6,1,5
259,0,6,0,0,0,0,0,0,6,1,2,3,1,0,3,0,3,5,2,0
260,0,6,0,0,0,0,0,1,3,4,9,3,4,0,6,0,9,0,0,0
261,0,0,0,0,4,0,0,0,7,2,3,3,6,2,3,0,2,4,1,3
262,0,0,0,0,0,0,0,0,4,3,4,3,0,0,6,0,3,4,0,4
263,0,0,0,0,0,0,0,0,3,4,7,3,9,0,5,0,8,0,0,0
264,0,0,0,0,0,0,0,0,8,0,2,2,9,2,7,0,1,0,0,7
265,0,0,0,0,0,0,0,0,3,3,4,2,5,2,1,0,5,4,1,4
266,0,0,0,0,4,0,0,0,5,3,7,3,6,0,4,0,9,0,0,2
267,0,6,0,0,0,0,0,0,6,2,2,2,1,0,3,0,1,3,1,3
268,0,5,0,0,0,0,0,0,8,2,2,3,9,0,6,0,3,5,0,0
269,0,0,2,0,0,0,0,0,6,0,4,3,2,0,2,0,1,5,0,0
270,0,6,0,0,3,0,0,0,2,4,6,3,4,2,2,0,5,3,1,3
271,0,0,0,0,3,0,0,0,3,4,3,2,3,0,4,0,5,3,3,2
272,0,6,0,4,0,0,0,0,5,6,6,2,4,0,3,0,8,2,1,4
273,0,0,0,0,4,0,0,0,5,2,4,3,8,0,3,0,9,2,2,3
274,0,6,0,0,0,0,0,0,4,3,5,3,0,0,5,0,9,2,0,0
275,0,6,0,0,3,0,0,0,4,4,2,2,3,2,3,0,9,4,0,5
276,0,0,0,0,0,0,0,0,4,2,2,2,1,0,5,0,3,6,0,3
277,0,0,0,0,4,0,0,0,3,2,6,2,9,0,2,0,8,2,2,3
278,0,6,0,0,4,0,0,0,5,0,4,2,9,2,2,0,9,3,0,2
279,0,6,0,0,0,0,0,0,7,1,4,4,9,0,0,0,2,4,0,4
280,0,5,0,0,0,0,0,0,5,1,0,3,7,0,3,0,8,4,1,6
281,0,6,0,0,0,0,0,0,6,4,3,2,8,0,6,0,1,1,0,3
282,0,5,0,0,3,0,0,0,6,2,4,2,5,2,3,0,1,3,1,3
283,0,0,0,0,0,0,0,0,2,3,6,2,2,0,5,0,5,3,2,1
284,0,6,0,0,4,0,0,0,6,3,4,2,2,2,6,0,3,4,2,4
285,0,6,0,5,4,0,0,0,6,0,1,4,9,2,3,0,2,4,1,5
286,0,5,0,0,3,0,0,0,7,1,1,2,3,0,5,0,2,2,0,6
287,0,0,0,0,0,0,0,0,4,4,5,2,4,0,4,0,3,3,2,2
288,0,0,0,0,4,0,0,0,8,2,2,3,9,0,2,0,2,2,0,6
289,0,0,0,0,0,0,0,0,7,1,4,3,8,0,4,0,2,5,1,1
290,0,0,0,0,4,0,0,0,8,1,2,3,8,2,3,0,3,3,1,5
291,0,6,0,0,4,0,1,0,3,4,9,2,0,2,7,0,8,2,0,0
292,0,5,0,0,1,0,0,0,3,4,3,2,2,0,2,0,5,2,2,1
293,0,6,0,0,2,0,0,0,3,0,9,3,0,2,2,0,8,2,0,0
294,0,0,0,0,0,0,0,0,4,2,5,2,9,0,3,0,9,2,0,2
295,0,0,0,0,0,0,0,0,8,2,2,3,4,2,5,0,2,4,0,5
296,0,6,0,0,4,0,0,0,8,3,2,4,5,2,3,0,3,5,1,4
297,0,0,0,0,0,0,0,0,6,2,4,5,9,0,0,0,8,4,0,2
298,0,0,0,0,0,0,0,0,3,2,7,3,4,0,6,0,8,0,0,2
299,0,0,0,0,0,0,0,0,6,5,6,3,5,0,0,0,8,0,0,2
300,0,5,0,0,0,0,0,0,1,3,7,2,1,0,5,0,7,3,2,1
301,0,0,0,0,4,1,0,0,3,4,6,3,7,0,2,0,8,4,0,2
302,4,5,0,0,0,0,0,0,3,1,8,3,8,2,4,0,7,7,2,3
303,0,0,0,6,0,0,0,0,5,3,6,3,4,0,3,0,9,2,1,2
304,0,0,0,0,4,0,0,0,2,1,3,2,0,2,2,0,7,5,1,4
305,0,6,0,0,3,0,0,0,7,1,2,3,4,0,5,0,3,8,0,4
306,0,0,0,0,2,0,0,0,4,2,2,2,3,0,7,0,4,3,2,5
307,0,6,0,0,2,0,0,0,3,2,5,2,5,2,3,0,1,0,0,4
308,0,0,0,0,3,0,0,0,3,4,6,2,0,2,4,0,7,4,0,0
309,0,0,0,0,0,0,0,0,5,0,5,4,9,0,2,0,9,0,0,4
310,0,6,0,0,6,0,0,0,6,2,2,2,7,2,2,0,1,1,0,4
311,0,6,0,0,3,0,0,0,2,3,8,3,3,1,0,0,5,2,0,2
312,0,6,0,0,4,0,0,0,3,4,5,2,4,2,4,0,8,3,2,2
313,0,6,0,6,4,0,0,0,8,0,0,2,3,2,5,0,1,0,0,7
314,0,0,0,1,0,0,0,0,3,0,4,1,1,0,3,0,5,3,1,2
315,0,0,0,0,0,0,0,0,1,2,7,3,4,0,2,0,7,1,0,1
316,0,5,0,0,0,0,0,0,8,4,9,1,3,0,4,0,2,3,1,4
317,0,6,0,0,0,0,0,0,4,4,5,2,4,0,4,0,9,3,2,2
318,0,0,0,0,0,0,0,0,2,3,2,1,0,0,2,0,5,6,4,3
319,0,6,0,0,3,0,0,0,1,4,5,2,4,2,3,0,7,2,1,1
320,0,6,0,0,0,0,0,0,5,1,4,3,6,0,5,0,8,2,1,4
321,0,6,0,0,3,0,0,0,6,0,0,2,0,2,2,0,3,1,1,5
322,0,5,0,0,0,0,0,0,8,5,3,4,6,2,4,0,3,2,0,3
323,0,6,0,0,0,0,0,0,4,5,9,2,0,0,4,0,9,4,0,0
324,0,0,0,0,0,0,0,0,3,4,6,2,0,0,4,0,8,3,1,2
325,0,6,0,0,0,0,0,0,7,0,4,3,5,0,2,0,2,4,0,2
