,mt_auto,nb_bateau,mt_RC,pouvoir_achat,mt_incendie,mt_bateau,niv_etud_bas,revenu_moyen,niv_etude_haut,revenu1,proprietaire,auto0,auto1,type_client,nb_securite_soc,PCStop,revenu4,revenu3,assur_sante_prive,PCSouvr,PCSagri,celibataire,PCSinter,mt_cyclomoteur,PCSouvr_quali,sans_religion,nbpers_au_foyer,nb_accident_famil,concubin,mt_velo,assur_caravane
36,6,0,2,6,4,0,0,4,2,0,9,0,7,2,0,2,0,3,2,0,0,0,7,0,0,0,3,0,2,0,0
37,0,0,0,4,1,0,6,3,0,2,6,2,6,10,0,2,1,1,3,3,2,1,3,0,2,2,3,0,1,0,0
38,0,0,0,5,6,0,6,3,0,7,2,0,3,9,0,2,0,2,3,2,0,0,2,0,5,3,3,0,0,0,0
39,5,0,2,3,4,0,8,3,0,3,6,0,6,8,0,0,1,2,0,3,0,0,1,0,6,5,3,0,3,0,0
40,0,0,2,2,2,0,9,3,0,4,0,3,6,5,0,2,0,0,2,2,1,0,2,0,3,3,3,0,1,0,0
41,6,0,2,6,4,0,4,4,0,2,8,0,7,3,0,5,0,3,2,1,0,2,4,0,0,0,3,0,0,1,1
42,0,0,0,7,6,0,3,5,2,2,5,1,6,2,0,3,1,4,5,2,1,2,3,0,2,4,3,0,1,0,0
43,6,0,0,3,0,0,6,4,2,4,3,3,6,8,0,2,1,3,2,2,3,1,2,0,2,4,2,0,0,0,0
44,0,0,2,6,5,0,5,4,0,0,9,2,6,1,0,2,1,3,4,3,0,1,3,0,2,0,3,0,1,0,0
45,6,0,2,4,3,0,6,3,1,4,4,2,5,9,0,2,1,1,2,3,1,3,2,0,3,3,3,0,1,0,1
46,0,0,1,3,3,0,5,3,1,3,4,3,6,8,0,2,1,2,3,2,0,4,3,0,3,3,2,0,0,0,0
47,5,0,2,4,3,0,5,2,1,5,1,1,5,9,0,1,0,0,1,7,0,1,2,0,0,5,4,0,0,0,0
48,5,0,0,5,0,0,4,4,1,2,4,3,5,9,0,1,1,3,3,3,0,1,6,0,1,3,3,0,0,0,0
49,0,0,1,3,2,0,7,3,0,3,5,3,5,8,0,0,0,2,1,0,0,2,3,0,6,5,3,0,0,0,0
50,6,0,0,3,0,0,7,3,0,6,0,0,7,8,0,0,0,0,0,3,0,0,3,0,4,5,2,0,0,0,0
51,0,0,2,1,3,0,4,3,2,5,2,3,6,6,0,1,0,2,1,3,0,5,4,0,2,4,2,0,2,0,0
52,0,0,0,2,3,0,6,4,1,3,0,2,7,5,0,1,1,3,1,4,0,2,3,0,2,3,2,0,2,0,0
53,0,0,1,6,2,0,3,4,3,4,8,6,3,3,0,4,2,2,2,1,2,4,0,0,4,2,2,0,0,0,0
54,6,0,2,3,4,0,7,4,1,0,8,1,8,8,0,1,0,7,1,4,1,1,3,0,3,3,3,0,0,0,0
55,6,0,2,5,4,0,5,4,0,0,7,2,6,9,0,0,0,5,3,0,0,0,6,0,3,3,5,0,1,0,0
56,5,0,0,6,0,0,1,3,4,3,1,1,8,3,0,2,0,2,0,2,0,6,4,0,3,4,1,0,3,0,0
57,0,0,2,7,4,0,4,4,2,2,9,0,9,3,0,1,0,4,4,1,0,1,5,0,2,3,3,0,2,0,1
58,0,0,0,5,0,0,6,3,0,5,2,1,8,8,0,1,0,2,2,4,2,1,4,0,1,2,2,0,2,0,0
59,0,0,2,2,1,0,5,6,1,2,7,5,4,7,0,3,4,2,2,2,1,1,4,0,1,4,3,0,1,0,0
60,6,0,0,2,0,0,3,3,2,5,0,4,5,7,0,1,0,2,4,1,0,5,5,0,2,2,2,0,1,0,0
61,6,0,0,3,3,0,6,3,1,3,5,3,5,8,0,1,1,2,2,2,1,2,2,0,4,4,3,0,1,0,0
62,0,0,0,6,0,0,3,8,3,0,7,0,5,8,0,2,2,3,4,1,0,0,5,0,2,5,3,0,0,0,0
63,0,0,0,3,0,0,2,3,0,4,0,2,7,5,0,0,0,2,0,2,0,5,7,0,0,4,1,0,2,0,0
64,6,0,2,6,2,0,2,3,0,6,1,7,2,3,0,0,2,0,2,6,0,7,3,0,0,5,1,0,2,0,0
65,6,0,2,3,4,0,4,4,2,0,9,0,7,8,0,3,0,3,3,1,0,0,4,0,1,0,4,0,0,0,0
66,0,0,0,3,0,0,6,3,1,2,4,3,5,8,0,1,1,2,3,4,1,1,3,0,2,2,3,0,1,0,0
67,6,0,2,6,4,0,2,4,4,0,9,0,9,3,0,7,0,4,5,0,0,2,0,0,2,3,3,0,0,0,0
68,0,0,0,3,0,0,2,4,0,0,7,0,6,8,0,2,0,2,6,2,2,3,4,0,0,2,3,0,0,0,0
69,0,0,0,3,0,0,8,3,0,1,0,3,4,7,0,1,0,0,0,5,0,3,1,0,4,4,2,0,0,0,0
70,0,0,0,4,0,0,2,3,2,4,2,0,7,3,0,2,0,0,3,2,0,0,4,0,0,4,3,0,0,1,0
71,0,0,0,1,3,0,4,3,1,4,3,1,7,6,0,3,1,2,4,2,0,4,4,0,1,2,2,0,1,0,0
72,0,0,0,1,3,0,5,4,2,2,5,2,7,7,0,1,1,4,4,1,1,2,5,0,3,3,3,0,1,0,0
73,6,0,2,7,4,0,3,4,3,0,8,1,8,2,0,4,0,4,3,0,0,2,4,0,1,3,3,0,1,0,0
74,6,0,2,6,4,0,0,6,3,1,7,0,7,3,0,2,3,5,4,1,0,2,5,0,1,5,3,0,2,0,0
75,6,0,0,6,0,0,5,4,0,2,7,3,6,1,0,1,0,4,1,5,0,2,3,0,2,2,3,0,0,0,0
76,0,0,0,4,0,0,6,3,0,4,1,3,6,9,0,1,0,1,3,5,1,2,2,3,2,3,2,0,1,0,0
77,0,0,2,6,3,0,0,5,5,0,0,1,8,3,0,4,0,4,5,0,0,1,1,0,4,2,2,0,1,0,0
78,0,0,0,6,0,0,3,4,4,3,9,0,9,1,0,6,0,4,5,3,0,0,1,0,1,4,2,0,1,0,0
79,6,0,0,6,0,0,3,5,2,1,8,0,7,3,0,1,1,6,1,2,0,1,6,0,1,5,3,0,2,0,0
80,0,0,2,6,4,0,5,4,1,0,7,2,7,1,0,1,0,4,2,3,1,3,6,0,1,3,2,0,0,0,0
81,6,0,0,6,0,0,9,3,0,5,5,1,6,1,0,4,0,0,4,1,0,0,2,0,2,4,2,0,1,0,0
82,6,0,2,8,0,0,2,8,5,1,9,1,7,1,0,6,5,3,8,0,0,1,3,0,1,3,3,0,0,0,0
83,0,0,0,4,3,0,6,4,1,0,7,2,7,10,0,1,0,5,2,4,1,2,4,0,2,2,3,0,0,0,0
84,6,0,0,3,0,0,5,3,1,4,0,5,4,5,0,0,0,4,1,3,0,2,4,0,3,6,2,0,2,0,0
85,6,0,2,4,4,0,5,3,2,3,4,4,4,9,0,2,1,1,2,3,0,3,3,0,2,3,3,0,1,0,0
86,0,0,2,8,1,0,5,5,4,3,9,0,6,1,0,4,2,3,6,0,2,0,2,0,2,2,3,0,1,0,0
87,6,0,2,5,4,0,4,4,2,0,9,0,9,9,0,2,0,4,2,0,0,0,3,0,5,5,4,0,0,1,0
88,0,0,0,3,0,0,2,3,2,4,0,3,5,8,0,2,0,3,4,3,0,5,4,0,1,2,1,0,2,0,0
89,0,0,2,4,2,0,8,4,1,0,6,1,7,9,0,1,0,2,1,0,0,3,3,0,6,4,2,0,1,0,0
90,0,0,0,4,0,0,3,5,0,0,9,2,6,3,0,1,3,0,1,3,0,0,4,0,2,5,3,0,1,1,0
91,6,0,2,7,4,0,0,5,5,0,9,0,9,2,0,7,0,9,5,0,0,0,2,0,0,4,5,0,0,0,0
92,0,0,2,6,4,0,5,4,3,0,6,2,7,1,0,1,0,5,2,4,1,1,4,0,2,2,3,0,0,0,0
93,5,0,2,1,1,0,7,4,1,2,1,6,3,6,0,0,1,2,0,2,2,6,2,0,4,4,1,0,0,0,0
94,6,0,1,5,4,0,2,6,2,1,3,2,7,9,0,1,2,3,2,3,0,2,3,0,3,0,2,0,0,0,0
95,0,0,0,6,0,0,5,6,0,0,6,1,6,3,0,3,2,7,4,1,2,0,2,3,2,1,3,0,0,0,0
96,6,0,0,5,4,0,9,3,0,3,3,0,9,9,0,0,1,3,0,0,0,2,4,0,5,5,2,1,0,0,0
97,0,0,0,4,0,0,0,5,5,0,0,1,8,3,0,4,0,4,5,0,0,5,5,0,1,2,2,0,1,0,1
98,0,0,0,3,0,0,4,4,1,2,7,2,5,8,0,1,0,3,4,4,0,2,3,0,1,2,2,0,0,0,1
99,0,0,2,2,2,0,5,3,1,5,1,2,7,5,0,1,1,1,3,5,0,4,3,0,1,2,2,0,3,0,0
100,5,0,0,3,0,0,8,3,1,3,6,2,6,8,0,1,1,2,2,2,0,0,2,0,6,5,3,0,0,0,0
101,0,0,0,8,0,0,0,4,3,0,9,0,6,1,0,4,0,3,6,0,0,0,4,0,2,2,3,0,0,0,0
102,0,0,2,3,3,0,4,4,2,0,9,0,7,8,0,3,0,3,3,1,0,0,4,0,1,0,4,0,0,0,0
103,5,0,2,6,4,0,4,3,2,3,9,4,4,3,0,4,1,1,4,4,0,4,2,0,0,0,2,0,0,0,0
104,6,0,0,4,0,0,4,5,4,2,7,0,7,8,0,4,3,3,4,3,1,0,0,0,2,2,3,0,1,0,0
105,6,0,2,2,2,0,9,2,0,5,0,3,5,5,0,0,0,0,1,5,0,3,0,0,4,6,2,0,1,0,0
106,5,0,0,6,0,0,0,6,5,0,5,1,6,1,0,0,0,9,4,0,4,2,0,0,0,4,4,0,1,0,0
107,0,0,2,4,2,0,2,5,3,2,3,1,7,5,0,3,3,3,7,2,0,4,2,0,2,4,2,0,0,0,0
108,6,0,0,4,3,0,4,3,0,4,2,2,7,8,0,0,0,0,0,2,0,4,7,0,0,4,2,0,2,0,0
109,6,0,2,3,4,0,9,4,0,0,0,2,6,8,0,0,0,5,2,4,0,0,0,0,5,3,4,0,1,0,0
110,0,0,2,7,0,0,2,5,4,1,8,1,8,2,0,3,3,4,3,1,0,0,5,0,2,2,4,0,1,0,0
111,0,0,2,3,1,0,4,3,0,5,0,3,5,5,0,2,0,3,0,2,0,3,4,0,2,5,2,0,6,0,0
112,6,0,0,3,0,0,6,3,0,2,9,2,4,8,0,2,0,3,3,2,0,0,2,0,5,2,2,0,2,0,0
113,6,0,0,6,0,0,0,6,4,0,1,0,6,8,0,4,1,4,9,3,0,1,3,0,0,3,4,0,0,0,0
114,0,0,0,3,0,0,5,4,0,0,9,2,7,8,0,1,0,4,3,2,0,1,4,0,2,2,3,0,0,0,0
115,6,0,0,3,0,0,5,2,3,7,1,6,1,5,0,5,0,1,1,0,0,5,4,0,1,4,2,0,2,0,0
116,6,0,2,6,4,0,6,3,3,2,7,2,7,8,0,2,0,2,1,2,0,2,3,0,3,2,2,0,1,0,0
117,0,0,0,3,3,0,5,4,0,0,1,4,5,8,0,1,0,9,0,2,0,3,3,0,5,6,3,0,0,0,0
118,0,0,2,7,0,0,0,4,6,0,9,2,6,2,0,0,0,9,2,0,0,0,6,0,3,4,2,1,2,1,0
119,6,0,0,3,0,0,6,2,0,6,5,4,3,8,0,0,0,2,2,5,2,2,0,0,3,0,3,0,0,0,0
120,0,0,0,5,1,0,7,3,0,5,3,2,7,8,0,1,1,1,2,4,0,1,2,0,3,3,3,0,2,0,0
121,6,0,0,5,0,0,9,4,0,0,0,2,6,8,0,0,0,5,2,4,0,0,0,0,5,3,4,0,1,0,0
122,0,0,0,6,5,0,7,4,0,0,7,0,5,8,0,0,0,4,0,2,0,0,2,0,4,2,3,0,2,0,0
123,6,0,0,4,0,0,6,3,0,1,1,2,6,3,0,1,0,3,0,2,0,1,3,0,4,4,3,0,1,0,0
124,6,0,2,8,4,0,2,4,5,0,9,3,6,3,0,2,0,5,0,2,0,0,5,0,0,6,3,0,0,0,0
125,6,0,0,2,0,0,7,2,1,6,0,4,5,7,0,0,0,0,0,4,0,6,0,0,5,5,2,0,0,0,0
126,6,0,2,3,0,0,3,3,1,3,4,1,7,8,0,3,1,3,4,2,0,3,4,0,1,2,2,0,1,0,0
127,6,0,2,6,4,0,0,4,7,0,9,0,5,1,0,7,0,6,6,1,0,3,2,0,0,2,2,0,0,0,1
128,6,0,2,1,2,0,4,3,2,5,2,3,6,6,0,1,0,2,1,3,0,5,4,0,2,4,2,0,2,0,0
129,6,0,0,3,0,0,2,3,2,6,1,4,5,5,0,1,0,1,1,4,0,5,3,0,2,3,2,0,2,0,0
130,0,2,0,7,0,4,2,5,4,1,9,0,9,2,0,3,0,7,5,1,0,0,5,0,2,1,3,0,2,0,0
131,6,0,0,4,0,0,5,3,1,3,5,2,7,8,1,2,1,3,3,4,0,2,3,0,1,3,2,0,2,0,0
132,5,0,0,4,0,0,7,3,1,5,1,5,4,9,0,0,1,1,1,4,0,3,2,0,4,6,3,0,1,0,0
133,0,0,0,7,0,0,4,4,2,5,7,0,7,2,0,5,2,0,3,0,0,0,4,0,0,2,3,0,0,0,0
134,0,0,0,6,0,0,0,5,3,0,9,0,6,2,0,3,0,6,3,0,0,0,6,0,0,9,3,0,4,0,0
135,0,0,2,3,3,0,5,5,1,3,6,3,5,7,0,3,2,3,2,2,0,4,4,0,2,3,2,0,2,0,0
136,6,0,2,3,3,0,7,4,1,3,7,2,4,8,0,2,0,3,2,2,1,1,1,0,4,3,3,0,1,0,0
137,0,0,2,3,0,0,6,3,1,3,7,3,5,8,0,0,0,3,2,3,2,3,2,0,4,4,3,0,0,0,0
138,0,0,1,8,2,0,5,5,4,3,9,0,6,1,0,4,2,3,6,0,2,0,2,0,2,2,3,0,1,0,0
139,0,0,0,6,0,0,2,6,6,0,9,0,7,3,0,6,4,3,7,1,0,0,2,0,2,5,3,0,4,0,0
140,0,0,2,1,2,0,3,3,1,3,1,4,5,6,0,2,1,3,4,3,0,6,3,0,3,4,1,0,0,0,0
141,6,0,0,6,0,0,2,4,4,2,8,1,6,3,0,3,1,4,4,1,1,1,4,0,2,3,3,0,2,0,0
142,0,0,2,6,4,0,3,6,1,0,9,2,6,8,0,0,3,6,4,2,0,0,4,0,3,7,4,0,0,0,0
143,0,0,2,4,3,0,0,3,1,4,7,2,7,9,0,1,0,4,3,1,0,2,4,0,4,4,4,0,1,0,0
144,5,0,0,3,0,0,8,4,0,1,0,3,5,8,0,1,0,3,2,3,0,1,1,0,6,5,3,0,0,0,0
145,0,0,0,3,0,0,8,3,0,3,0,0,7,8,0,0,0,1,0,4,0,0,1,0,5,4,4,0,0,0,0
146,0,0,0,1,0,0,6,3,0,2,0,2,7,7,0,0,0,3,0,4,0,2,3,0,3,4,3,0,0,0,0
147,0,0,0,7,0,0,2,8,5,0,9,0,5,2,0,7,1,4,7,1,0,0,2,0,0,2,3,0,0,0,0
148,0,0,0,3,6,0,3,3,0,1,9,0,6,10,0,1,0,3,0,0,6,0,3,0,0,3,5,0,0,0,0
149,6,0,0,7,0,0,3,4,3,0,8,1,8,2,0,4,0,4,3,0,0,2,4,0,1,3,3,0,1,0,1
150,0,0,0,7,0,0,1,5,3,1,8,2,7,2,0,3,1,5,4,2,0,0,4,0,1,3,4,0,1,0,1
151,0,0,0,6,3,0,1,5,3,2,3,0,7,1,0,6,1,4,6,1,0,2,2,0,0,5,2,0,0,0,0
152,0,0,0,4,0,0,6,2,0,6,0,2,7,9,0,0,0,1,2,6,0,1,2,0,2,4,3,0,1,0,0
153,6,0,0,7,2,0,2,3,1,4,5,0,7,3,0,2,0,1,3,4,0,0,4,0,0,5,3,0,2,0,0
154,0,0,0,8,0,0,2,4,3,2,8,0,9,3,0,2,0,4,4,1,0,1,5,0,2,4,4,0,1,0,0
155,0,0,0,4,3,0,5,6,2,2,6,5,4,8,0,1,3,1,2,2,2,1,3,0,3,4,2,0,1,0,0
156,6,0,2,8,4,0,3,4,1,3,8,0,9,3,0,1,0,4,4,1,0,1,5,0,3,1,4,0,1,0,0
157,0,0,0,5,4,0,6,4,1,1,7,2,7,8,0,1,1,4,2,3,2,1,3,0,2,3,3,0,0,0,0
158,5,0,0,1,0,0,7,2,0,8,0,2,7,7,0,0,0,1,0,5,0,4,4,0,0,3,2,0,0,0,0
159,5,0,0,5,2,0,4,4,1,2,4,3,5,9,0,1,1,3,3,3,0,1,6,0,1,3,3,0,0,0,0
160,5,0,2,2,0,0,6,3,0,4,1,3,6,5,0,1,0,1,3,5,1,2,2,0,2,3,2,0,1,0,0
161,7,0,2,4,2,0,7,6,2,2,0,2,6,3,0,2,4,2,2,2,0,1,3,0,3,4,3,0,1,0,0
162,5,0,0,1,0,0,8,2,0,3,3,3,6,7,0,3,0,0,0,4,1,3,0,0,2,5,3,0,1,0,0
163,0,0,0,3,0,0,3,5,0,0,9,2,6,10,0,2,0,8,3,3,5,0,0,2,0,4,4,0,0,0,0
164,6,0,0,4,6,0,5,5,0,2,5,0,7,10,1,2,3,3,4,3,2,0,0,0,4,4,3,1,2,0,0
165,5,0,0,5,4,0,8,2,0,7,1,4,4,9,0,1,0,0,2,7,0,3,1,0,0,5,2,0,1,0,0
166,0,0,0,3,2,0,6,4,1,2,7,1,6,9,0,4,2,2,4,1,0,2,2,0,2,4,3,0,1,0,0
167,5,0,0,5,0,0,3,5,2,4,7,5,4,8,0,2,1,3,2,4,1,3,2,0,0,0,2,0,1,0,0
168,0,0,0,5,3,0,5,7,0,0,4,2,6,8,0,4,5,4,1,0,0,0,3,0,3,5,4,0,2,0,0
169,5,0,0,4,0,0,6,4,1,2,1,1,7,3,0,0,0,4,0,4,0,1,3,0,2,3,4,0,1,0,0
170,0,0,0,4,0,0,5,3,1,3,1,2,6,3,0,1,0,2,1,4,0,2,2,0,3,5,2,0,3,0,0
171,6,0,2,6,4,0,4,3,2,3,9,4,4,3,0,4,1,1,4,4,0,4,2,0,0,0,2,0,0,0,0
172,6,0,0,4,5,0,7,4,2,2,8,1,8,10,0,2,2,3,4,2,3,0,2,0,1,2,2,0,1,0,0
173,0,0,2,3,4,0,7,4,1,0,8,1,8,8,0,1,0,7,1,4,1,1,3,0,3,3,3,0,0,0,0
174,0,0,0,6,3,0,5,4,0,2,5,0,8,8,0,0,2,2,0,4,0,0,5,0,1,2,3,0,1,0,1
175,6,0,2,3,4,0,7,3,1,0,8,2,5,7,0,2,0,2,2,3,0,0,3,0,3,4,3,0,0,0,0
176,0,0,2,4,3,0,3,5,4,1,0,4,5,3,0,2,1,5,5,2,0,2,4,0,2,4,3,0,1,0,0
177,0,0,0,7,0,0,1,6,3,0,9,0,7,2,0,2,3,6,7,2,0,0,4,3,2,4,3,0,0,0,0
178,6,0,0,3,1,0,8,3,1,4,1,2,6,8,0,1,0,2,1,5,0,0,2,0,2,1,4,0,1,0,0
179,6,1,0,4,6,1,5,4,1,3,7,0,5,10,0,1,0,4,3,1,3,1,2,0,3,3,3,0,1,0,1
180,0,0,0,8,3,0,2,5,3,0,9,2,6,3,0,4,3,4,4,1,0,0,3,0,2,6,3,0,0,0,0
181,0,0,2,4,3,0,4,4,0,2,4,0,7,3,0,2,2,2,4,2,2,3,3,0,2,6,3,0,2,0,0
182,6,0,2,8,4,0,5,3,0,2,6,1,7,3,0,0,0,0,4,0,0,0,4,0,5,4,4,0,0,0,0
183,6,0,2,6,4,0,0,3,0,0,4,0,7,1,0,0,0,0,2,4,0,0,5,0,0,3,2,0,0,0,0
184,6,0,0,3,0,0,7,4,1,3,7,2,4,8,0,2,0,3,2,2,1,1,1,0,4,3,3,0,1,0,0
185,0,0,2,1,1,0,5,2,1,5,1,8,1,6,0,1,1,1,3,5,2,7,3,0,0,4,1,0,0,0,0
186,0,0,0,4,0,0,3,4,0,0,5,0,9,9,0,0,2,0,2,2,0,2,7,0,0,5,4,0,0,0,0
187,6,0,2,3,4,0,4,4,2,3,6,1,7,9,0,3,2,3,4,1,2,1,2,0,3,5,3,0,1,0,0
188,0,0,0,4,5,0,4,4,2,3,5,1,6,10,0,3,2,3,4,1,2,2,2,0,2,4,3,0,1,0,0
189,0,0,0,6,0,0,2,4,3,1,3,2,7,3,0,3,1,5,3,2,1,2,4,0,2,4,3,0,1,0,0
190,0,0,2,3,2,0,3,7,3,1,7,2,7,8,0,1,3,4,2,4,0,3,1,0,4,0,2,0,0,0,0
191,6,0,0,3,0,0,5,7,0,0,0,2,5,8,0,1,4,3,2,2,0,0,3,0,5,3,3,0,0,0,0
192,6,0,0,1,0,0,9,3,0,5,0,0,7,7,0,0,0,0,0,4,0,0,2,0,4,7,2,0,0,0,0
193,6,0,0,6,0,0,6,3,2,3,5,2,6,1,0,1,0,2,2,2,1,3,2,0,4,3,2,0,1,0,0
194,6,0,0,3,0,0,9,4,0,3,0,2,7,8,0,0,2,2,0,0,0,0,2,0,7,2,3,0,0,0,1
195,6,0,0,5,0,0,4,4,0,3,9,3,6,9,0,0,1,3,2,4,0,0,0,0,5,2,3,0,1,0,0
196,0,0,0,4,2,0,2,3,0,4,0,0,9,3,0,0,0,0,0,2,0,2,7,0,0,4,3,0,0,0,0
197,0,0,0,5,0,0,6,3,0,0,4,0,9,9,0,0,0,0,4,3,0,0,0,0,6,3,3,0,1,0,0
198,0,0,0,5,0,0,6,3,3,2,7,2,7,8,0,2,0,2,1,2,0,2,3,0,3,2,2,0,1,0,0
199,5,0,2,3,0,0,4,4,0,2,6,2,7,8,0,2,0,4,3,0,0,0,7,0,0,3,2,0,0,0,0
200,0,0,0,2,0,0,5,3,2,2,1,2,7,5,0,2,0,2,2,3,0,1,3,3,2,6,2,0,2,0,0
201,6,0,0,5,0,0,6,2,0,5,9,4,3,8,0,0,0,4,2,5,2,4,0,0,3,0,2,0,0,0,0
202,6,0,2,8,0,0,2,6,3,0,9,0,7,3,1,5,3,5,7,3,0,0,1,0,1,4,3,0,0,0,0
203,6,0,0,5,3,0,2,4,4,3,3,3,6,9,0,4,1,4,3,3,0,1,2,0,2,7,3,0,1,0,1
204,5,0,0,7,3,0,4,5,2,0,5,0,9,3,0,2,0,5,2,0,0,0,2,0,5,0,4,0,0,0,0
205,0,0,0,4,3,0,1,3,0,0,9,2,6,3,0,1,1,0,1,3,0,0,4,0,2,5,3,0,1,0,0
206,8,1,0,2,4,4,3,5,0,2,9,2,6,5,0,5,0,3,3,0,0,2,4,0,0,3,3,0,1,0,0
207,0,0,0,6,0,0,5,3,0,5,7,4,5,3,0,1,0,2,2,1,2,3,4,0,3,5,2,0,1,0,0
208,0,0,0,3,4,0,8,2,0,8,6,3,5,8,0,0,0,1,1,0,1,3,0,4,6,3,2,0,0,0,0
209,6,0,0,4,0,0,3,4,2,2,0,3,4,3,0,4,1,5,2,4,0,2,0,0,1,7,3,0,2,0,0
210,6,0,2,2,0,0,2,4,2,3,0,3,5,5,0,1,0,5,4,3,0,3,4,0,1,2,2,0,2,0,0
211,6,0,0,3,3,0,9,2,0,4,4,3,5,9,0,0,0,0,0,4,0,0,0,0,5,6,3,0,0,0,0
