,mt_moto,mt_auto,mt_remorque,mt_assur_vie,mt_incendie,nb_RC_agri,nb_bateau,nb_RC_entreprise,pouvoir_achat,PCSouvr,niv_etud_bas,nbpers_au_foyer,proprietaire,mt_RC,sans_religion,nb_invalidite,type_client,PCSinter,concubin,assur_sante_prive,niv_etude_haut,mt_tracteur,mt_bateau,sans_enfant,celibataire,auto0,catholique,nb_MRH,revenu2,PCSagri,nb_accident_famil,auto2,Cle,Cle.1,PCStop,revenu_moyen,mt_velo,autre_religion,nbmaisons,mt_cyclomoteur,revenu3,PCSouvr_quali,revenu4,auto1,revenu5,PCScadre,revenu1
12,0,0,0,0,3,0,0,0,4,1,4,3,0,0,0,0,9,4,0,3,2,0,0,4,0,2,0,0,5,0,0,0,13,13,2,3,0,3,1,0,3,2,0,7,0,2,2
13,0,6,0,0,3,0,0,0,6,3,6,2,2,1,5,0,3,3,2,1,1,0,0,2,4,3,1,0,4,1,0,0,14,14,1,2,0,1,1,0,1,3,0,6,0,0,5
14,0,0,0,0,0,0,0,0,3,1,7,2,9,0,3,0,10,1,0,7,0,0,0,4,3,3,0,0,6,8,0,3,15,15,1,3,0,0,1,3,1,0,0,3,0,0,3
15,0,0,0,0,0,0,0,0,1,1,3,1,0,0,3,0,6,5,1,4,2,0,0,3,6,4,0,0,3,0,0,0,16,16,2,3,1,2,1,0,3,2,0,5,0,1,5
16,0,0,0,0,0,0,0,0,4,1,5,3,8,2,2,0,10,2,1,4,1,0,0,3,1,1,1,0,3,2,0,4,17,17,2,4,0,1,1,0,4,3,1,5,0,1,2
17,4,6,0,6,4,0,0,0,5,0,5,5,6,2,3,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,18,18,0,3,0,0,2,0,3,6,0,9,0,0,6
18,0,0,0,0,2,0,0,0,3,0,4,1,1,0,3,0,5,3,1,2,1,0,0,4,5,3,1,0,0,0,0,0,19,19,2,4,0,2,1,0,5,4,0,6,0,1,4
19,0,0,0,0,2,0,0,0,2,2,2,2,9,0,2,0,5,0,0,7,7,0,0,6,0,0,0,0,2,0,0,0,20,20,3,6,0,2,1,0,5,0,2,9,0,5,0
20,0,6,0,0,4,1,0,0,3,2,4,2,2,0,4,0,8,7,2,0,0,3,0,4,4,2,0,0,5,0,0,0,21,21,0,3,0,2,1,0,0,0,0,7,0,0,4
21,0,5,0,0,3,0,0,0,6,2,3,3,3,2,6,0,3,6,0,1,2,0,0,2,2,3,0,0,6,0,0,1,22,22,1,3,0,0,1,0,2,0,0,5,0,0,2
22,0,6,0,0,0,0,0,0,3,2,6,2,3,0,2,0,1,3,1,2,1,0,0,4,3,3,0,0,3,1,0,1,23,23,2,3,0,3,1,0,2,4,1,6,0,1,4
23,0,6,0,0,2,0,0,0,5,4,6,4,0,2,2,0,9,2,0,1,1,0,0,3,1,1,2,0,6,0,0,1,24,24,1,4,0,2,1,0,2,4,2,8,0,0,1
24,0,0,0,0,0,0,0,0,1,3,5,3,5,2,3,0,7,2,1,2,1,0,0,3,2,2,1,0,4,1,0,2,25,25,1,4,0,2,1,0,4,3,1,6,0,1,1
25,0,0,0,0,2,0,0,0,2,4,7,2,1,2,3,0,5,3,1,1,1,0,0,3,5,5,1,0,3,1,0,1,26,26,1,2,0,1,1,0,1,3,0,3,0,0,5
26,0,6,0,0,0,0,0,0,7,0,4,4,5,0,0,0,3,2,0,2,2,0,0,0,0,0,0,0,4,0,0,0,27,27,2,5,0,2,1,0,5,5,0,9,0,0,0
27,5,6,0,0,0,0,0,0,6,1,4,3,5,0,4,0,3,2,1,4,2,0,0,4,2,1,1,0,3,2,0,2,28,28,3,4,0,1,1,0,3,2,2,6,1,1,3
28,0,5,0,0,0,0,0,0,3,5,5,1,1,0,5,0,5,1,2,1,1,0,0,3,6,4,2,0,3,0,0,0,29,29,1,2,0,1,1,0,1,3,1,5,0,0,6
29,0,5,0,0,4,0,0,0,8,3,1,4,9,2,3,0,2,1,1,4,7,0,0,3,0,1,1,0,1,0,0,2,30,30,5,7,0,1,1,0,3,1,4,7,1,0,0
30,0,0,0,0,3,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0,0,0,0,4,0,0,0,0,5,0,0,4,31,31,0,4,0,0,1,0,4,4,0,5,0,2,0
31,0,6,0,0,0,0,0,0,4,4,2,3,1,2,6,0,3,4,3,3,2,0,0,5,1,4,0,0,3,0,0,0,32,32,1,5,0,2,1,0,0,2,1,5,2,0,4
32,0,5,0,0,2,0,0,0,3,1,5,4,8,1,4,0,8,3,0,3,2,0,0,1,1,0,0,0,5,0,0,1,33,33,2,3,0,2,1,0,2,4,0,8,0,0,3
33,0,0,0,0,0,0,0,0,4,0,7,2,9,0,7,0,10,2,2,0,0,0,0,9,0,2,0,0,0,0,0,0,34,34,0,6,0,0,1,0,9,7,0,7,0,0,0
34,0,0,0,0,0,0,0,1,6,3,2,3,2,0,5,0,3,5,1,3,1,0,0,2,2,2,2,0,3,0,0,1,35,35,1,4,0,1,1,0,5,1,0,6,0,1,2
35,0,6,0,0,5,1,0,0,3,1,5,3,6,0,3,0,8,2,2,2,2,0,0,3,2,3,1,0,4,2,0,1,36,36,1,4,0,2,1,0,2,3,1,5,1,1,3
36,0,0,0,0,4,0,0,0,3,1,5,3,5,1,2,0,7,3,0,1,1,0,0,3,2,2,0,0,5,2,0,1,37,37,1,4,0,2,1,0,1,2,0,6,1,1,3
37,0,0,0,0,0,0,0,0,3,5,8,2,0,0,4,0,7,1,0,0,0,0,0,4,3,3,2,0,8,0,0,3,38,38,1,3,0,2,1,0,0,4,0,4,0,0,1
38,0,6,0,0,2,0,0,0,7,1,2,3,9,0,2,0,2,2,0,7,5,0,0,3,0,0,0,0,2,0,0,4,39,39,7,8,0,4,1,0,4,0,1,5,3,0,0
39,0,5,0,0,0,0,0,0,7,2,1,4,9,0,5,0,3,4,0,9,4,0,0,0,0,0,2,0,0,0,0,4,40,40,2,7,0,0,1,0,6,0,3,5,0,2,0
40,0,6,0,0,0,0,0,0,6,1,1,3,2,0,5,0,3,5,2,4,4,0,0,4,1,2,1,0,4,0,0,1,41,41,3,4,0,2,2,0,5,2,1,7,0,0,1
41,0,0,0,0,0,0,0,0,1,5,7,1,0,0,4,0,5,3,0,0,0,0,0,3,6,3,2,0,5,0,0,3,42,42,2,3,0,2,1,0,0,1,0,4,0,0,4
42,0,6,0,0,4,0,0,0,6,4,4,2,9,1,0,0,3,2,0,4,2,0,0,2,4,4,2,0,5,0,0,2,43,43,4,3,0,4,2,6,1,0,1,4,0,0,3
43,0,6,0,0,4,0,0,0,5,0,2,2,9,2,7,0,8,0,0,7,3,0,0,3,5,0,0,0,2,0,0,0,44,44,7,4,0,0,1,0,5,2,0,9,0,0,2
44,0,6,0,0,4,0,0,0,6,2,6,4,7,0,2,0,8,2,2,0,0,0,0,4,0,0,0,0,5,0,0,4,45,45,2,4,0,0,1,0,4,3,0,5,0,2,0
45,0,0,0,0,2,0,0,0,4,1,4,3,0,2,0,0,9,4,0,3,2,0,0,4,0,2,0,0,5,0,0,0,46,46,2,3,0,3,1,0,3,2,0,7,0,2,2
46,0,0,0,0,3,0,0,0,2,3,6,2,4,0,3,0,7,3,0,0,1,0,0,3,4,4,1,0,5,1,0,1,47,47,1,4,0,2,1,0,2,3,1,5,0,0,2
47,0,5,0,0,0,0,0,0,4,3,5,3,0,0,5,0,9,2,0,0,2,0,0,2,1,2,0,0,6,0,0,0,48,48,2,3,0,1,1,0,0,3,0,7,0,0,3
48,0,0,0,0,2,0,0,0,3,2,4,2,0,2,5,0,5,4,6,0,0,0,0,5,3,3,0,0,2,0,0,3,49,49,2,3,0,0,1,0,3,2,0,5,0,0,5
49,0,6,0,0,0,0,0,0,3,3,7,3,8,2,4,0,7,3,0,2,1,0,0,3,0,2,2,0,7,0,0,2,50,50,2,3,0,0,1,0,2,3,0,5,0,0,0
50,0,6,0,0,3,0,0,0,1,3,9,2,0,1,3,0,6,2,0,0,0,0,0,2,4,2,0,0,7,2,0,0,51,51,0,3,0,2,2,0,0,3,0,7,0,0,2
51,0,6,0,0,4,0,0,0,4,2,5,3,7,2,2,0,8,4,1,4,1,0,0,3,2,3,1,1,4,1,0,2,52,52,2,4,0,1,1,0,3,2,1,5,1,1,2
52,0,6,0,0,4,0,0,0,3,4,5,2,4,2,4,0,8,3,2,2,1,0,0,4,3,3,1,0,4,0,0,1,53,53,1,3,1,1,1,0,3,2,1,6,0,1,3
53,0,6,0,0,2,0,0,0,1,2,4,3,5,0,2,0,7,4,1,3,2,0,0,3,3,3,1,0,4,1,0,2,54,54,2,4,0,2,1,0,4,2,1,4,0,1,2
54,0,5,0,0,0,0,0,0,4,2,3,4,5,0,5,0,9,7,0,2,0,0,0,0,2,0,0,0,7,0,0,0,55,55,0,4,0,3,1,0,0,0,2,9,0,0,0
55,0,0,0,0,4,0,0,0,5,4,5,2,4,0,3,0,8,2,1,1,1,0,0,2,4,3,1,0,3,1,0,1,56,56,1,3,0,1,1,0,2,3,0,5,0,0,5
56,0,6,0,0,4,0,0,0,7,0,2,3,9,1,2,0,2,5,0,7,5,0,0,3,0,0,2,0,5,0,0,2,57,57,4,7,0,0,1,0,0,0,4,7,0,0,0
57,4,0,0,0,0,0,0,0,8,1,3,3,7,0,3,0,2,4,1,4,2,0,0,3,1,1,1,0,3,0,0,1,58,58,3,5,0,2,1,0,5,2,1,7,0,1,1
58,0,0,0,0,0,0,0,0,4,3,3,2,4,0,4,0,3,5,2,4,2,0,0,2,5,4,0,0,3,0,1,2,59,59,2,7,0,2,1,0,2,0,5,5,0,0,0
59,0,0,0,0,0,0,0,0,4,1,3,3,6,0,3,0,9,3,1,4,2,0,0,4,1,1,1,0,2,1,0,2,60,60,3,5,0,1,1,0,4,3,2,6,0,0,2
60,0,0,0,0,2,0,0,0,3,4,6,3,7,2,2,0,8,4,0,2,1,0,0,3,2,2,0,0,4,1,0,0,61,61,1,4,0,1,1,0,5,2,0,7,0,0,0
61,0,6,0,0,0,0,0,0,1,3,8,2,0,0,3,0,6,2,0,2,0,0,0,5,2,1,0,0,4,0,0,0,62,62,0,2,0,2,2,0,0,4,0,8,0,0,5
62,0,6,0,0,0,0,0,0,6,3,6,2,2,0,5,0,3,3,2,1,1,0,0,2,4,3,1,0,4,1,0,0,63,63,1,2,0,1,1,0,1,3,0,6,0,0,5
63,0,6,0,0,0,0,0,0,7,0,6,2,2,0,4,0,2,9,1,4,0,0,0,4,4,1,1,0,3,0,0,2,64,64,0,3,0,1,1,0,1,0,0,6,0,0,5
64,0,7,3,0,0,0,0,0,3,1,4,3,6,0,3,0,8,2,1,4,2,0,0,3,2,1,1,0,2,2,0,2,65,65,3,4,0,1,1,0,3,2,2,6,1,1,3
65,0,0,0,0,3,0,0,0,6,3,3,2,5,0,4,0,1,2,0,2,2,0,0,4,3,2,0,0,4,0,0,0,66,66,4,5,0,0,1,0,5,0,0,7,0,2,0
66,0,0,0,0,4,0,0,0,4,1,1,3,3,0,4,0,3,5,1,5,1,0,0,3,2,2,1,0,4,0,0,1,67,67,4,3,0,2,1,0,3,1,1,7,0,0,3
67,0,6,0,0,0,0,0,0,1,2,5,1,0,0,4,0,6,4,1,0,1,0,0,2,7,2,0,0,7,0,0,0,68,68,4,3,0,0,1,0,1,1,0,7,0,0,2
68,0,6,2,0,0,0,0,0,7,0,6,2,2,0,4,0,2,9,1,4,0,0,0,4,4,1,1,0,3,0,0,2,69,69,0,3,0,1,1,0,1,0,0,6,0,0,5
69,0,0,0,0,2,0,0,0,3,5,5,2,0,2,2,0,5,4,5,0,0,0,0,5,2,2,2,0,6,0,0,2,70,70,0,4,0,4,1,0,3,0,0,5,0,0,0
70,0,5,0,0,1,0,0,0,6,5,6,3,5,0,0,0,8,0,0,2,0,0,0,3,2,4,0,0,2,2,0,2,71,71,0,2,0,0,1,0,2,3,0,3,0,0,6
71,0,5,0,0,0,0,0,0,3,1,5,2,8,0,1,0,10,1,0,4,1,0,0,8,0,0,0,0,5,4,0,2,72,72,4,3,0,0,1,0,0,2,1,7,1,1,4
72,0,0,0,0,2,0,0,0,8,0,0,3,9,0,0,0,3,2,0,7,6,0,0,3,0,0,0,0,0,0,0,2,73,73,6,5,0,2,1,0,7,0,2,7,0,2,0
73,0,0,0,0,4,0,0,0,3,0,9,4,0,2,3,0,8,0,0,0,0,0,0,3,0,0,0,0,5,3,0,2,74,74,0,3,0,0,1,0,2,6,0,7,0,0,3
74,0,0,0,0,0,0,0,0,4,2,6,2,5,0,3,0,9,2,1,2,2,0,0,3,3,2,1,0,5,1,0,1,75,75,1,3,0,1,1,0,2,4,0,6,0,1,3
75,0,0,0,0,0,0,0,0,3,0,7,2,2,0,2,0,8,2,0,2,2,0,0,5,2,2,2,0,3,0,0,0,76,76,2,4,0,0,1,0,3,4,2,7,0,2,2
76,0,5,0,0,0,0,0,0,7,1,2,4,8,0,2,0,2,5,1,3,4,0,0,2,0,1,2,0,3,0,0,0,77,77,3,5,0,1,1,0,4,2,3,8,1,1,1
77,0,6,0,0,4,0,0,0,3,3,8,3,6,2,5,0,8,1,3,0,0,0,0,3,0,0,0,0,5,0,0,3,78,78,0,3,0,3,2,0,2,6,1,6,0,0,3
78,0,5,0,0,0,0,0,0,5,2,6,3,2,0,3,0,9,2,0,3,0,0,0,0,0,0,0,0,0,0,0,6,79,79,2,3,0,0,1,0,2,5,0,3,0,0,7
79,0,6,0,4,6,1,0,0,4,3,9,4,5,0,2,0,10,0,0,0,0,3,0,0,3,0,0,0,6,4,0,0,80,80,0,3,0,2,1,0,2,3,0,9,0,0,2
80,0,0,0,4,4,0,0,0,7,2,2,3,9,0,5,0,3,3,3,7,5,0,0,4,0,0,4,0,3,0,0,3,81,81,5,7,0,0,1,0,4,1,3,6,1,0,0
81,4,7,2,0,2,0,0,0,8,0,0,3,9,0,0,0,3,2,0,7,6,0,0,3,0,0,0,0,0,0,0,2,82,82,6,5,0,2,1,3,7,0,2,7,0,2,0
82,0,6,0,0,0,0,0,0,5,2,5,2,3,0,3,0,9,3,2,2,1,0,0,4,2,2,2,0,4,0,0,1,83,83,1,3,0,2,1,0,3,3,1,7,0,1,3
83,0,0,0,0,6,0,0,0,6,0,0,2,9,0,0,0,1,2,0,9,6,0,0,7,0,0,0,0,3,0,0,0,84,84,6,5,0,0,1,0,3,0,2,9,1,2,2
84,0,6,0,0,4,0,0,0,5,4,4,3,8,2,0,0,9,0,0,4,4,0,0,2,0,0,2,0,3,0,0,2,85,85,4,5,0,1,1,0,2,2,3,7,0,0,2
85,0,0,0,0,0,0,0,0,1,4,9,2,0,0,5,0,7,0,0,0,0,0,0,7,0,4,0,0,4,0,0,0,86,86,0,3,0,0,1,0,2,5,0,5,0,0,4
86,0,6,0,0,0,0,0,0,6,2,6,2,4,0,5,0,8,1,2,2,0,0,0,5,3,1,0,0,5,5,0,5,87,87,1,4,0,2,2,0,1,3,2,4,0,0,2
87,0,5,0,0,0,0,0,0,3,4,1,1,1,0,4,0,5,4,1,1,1,0,0,2,6,6,0,0,3,0,0,1,88,88,1,2,0,1,1,0,1,1,0,3,0,0,6
88,0,6,0,0,4,0,0,0,8,1,2,4,8,2,4,0,3,5,1,4,3,0,0,2,1,0,1,0,4,0,0,0,89,89,2,4,0,1,1,3,4,2,0,9,0,0,2
89,0,5,0,0,0,0,0,0,6,2,5,2,9,0,0,0,1,5,1,3,0,0,0,6,2,3,2,0,4,0,0,0,90,90,3,4,0,0,1,0,0,0,2,6,0,0,4
90,0,0,0,0,0,0,0,0,6,0,6,4,9,0,4,0,8,3,1,4,0,0,0,0,0,1,1,0,6,0,0,2,91,91,3,5,0,1,1,3,0,5,3,6,0,0,0
91,0,6,0,0,4,0,0,0,6,1,1,3,9,2,4,0,3,2,0,7,3,0,0,2,2,0,1,0,2,0,1,2,92,92,6,5,0,0,1,3,6,0,0,7,0,0,2
92,0,0,0,0,0,0,0,0,7,0,6,2,2,0,4,0,2,9,1,4,0,0,0,4,4,1,1,0,3,0,0,2,93,93,0,3,0,1,1,0,1,0,0,6,0,0,5
93,0,0,0,0,4,0,0,0,8,2,3,3,6,2,3,0,2,4,1,3,3,0,0,3,2,2,2,0,3,0,0,2,94,94,3,5,0,1,2,0,4,1,2,6,1,1,2
94,0,0,0,0,1,0,0,0,1,5,8,4,5,0,6,0,7,4,0,5,0,0,0,5,0,0,0,0,4,0,0,0,95,95,1,4,0,0,1,0,4,1,1,9,0,0,1
95,0,0,0,0,4,0,0,0,3,2,7,3,7,0,3,0,8,1,1,2,1,0,0,4,1,2,1,0,3,1,0,4,96,96,2,4,0,2,1,0,3,4,0,4,1,1,3
96,0,0,0,0,3,0,0,0,5,4,6,3,0,2,4,0,9,3,0,0,0,0,0,1,0,0,0,0,6,0,0,2,97,97,0,3,0,0,1,0,1,3,0,7,0,0,2
97,0,0,0,0,0,0,0,0,5,1,4,3,6,0,5,0,8,2,1,4,2,0,0,4,1,1,1,0,2,2,0,2,98,98,3,4,0,1,1,3,3,3,2,7,0,0,3
98,0,0,0,0,0,0,0,0,6,3,5,3,7,2,2,0,8,0,0,3,0,0,0,0,2,3,3,0,3,0,0,5,99,99,3,4,0,0,1,0,4,3,0,2,0,0,2
99,0,0,0,0,2,0,0,0,3,0,4,2,6,2,2,0,8,3,2,2,2,0,0,3,2,2,4,0,2,2,0,3,100,100,1,5,0,1,1,0,3,5,3,5,0,0,2
100,0,6,0,0,4,0,0,0,3,3,5,4,7,2,3,0,8,2,0,3,1,0,0,0,0,0,0,0,4,0,0,3,101,101,3,3,0,1,1,0,2,3,0,6,0,0,4
101,0,6,0,0,0,0,0,0,3,2,4,2,2,0,3,0,8,3,0,3,2,0,0,5,2,2,1,0,5,0,0,1,102,102,2,4,0,1,1,0,3,4,0,6,0,0,2
102,0,6,0,0,4,0,0,0,7,0,4,4,5,2,0,0,3,2,0,2,2,0,0,0,0,0,0,0,4,0,0,0,103,103,2,5,0,2,1,0,5,5,0,9,0,0,0
103,0,5,0,0,0,0,0,0,3,1,7,2,1,0,2,0,8,2,1,1,0,0,0,1,4,4,0,0,3,1,0,1,104,104,0,3,0,1,2,0,2,6,0,5,0,0,5
104,5,6,0,0,0,0,0,0,3,0,6,3,9,0,0,0,8,2,0,6,0,0,0,2,0,0,0,0,5,0,0,3,105,105,3,4,0,0,1,0,4,5,0,6,0,0,0
105,0,0,0,0,3,0,0,0,3,0,3,5,9,0,3,0,10,3,0,0,0,0,0,1,0,0,1,0,6,6,0,3,106,106,1,3,0,5,1,0,3,0,0,6,0,0,1
106,0,0,0,0,0,0,0,0,8,3,2,4,5,0,3,0,3,5,1,4,2,0,0,0,1,2,2,0,3,0,0,2,107,107,2,5,0,0,1,0,4,0,1,5,1,1,2
107,0,5,0,0,0,0,0,0,6,1,1,3,2,0,4,0,2,4,0,4,4,0,0,4,1,2,1,0,1,0,0,1,108,108,4,5,0,0,1,0,8,0,0,6,0,0,1
108,0,0,0,0,3,0,0,0,2,0,4,2,9,2,2,0,5,3,0,2,2,0,0,2,3,0,0,0,2,0,0,2,109,109,0,3,0,0,1,0,4,4,0,7,0,2,4
109,0,0,0,0,0,0,0,0,8,3,5,3,8,0,3,0,2,2,1,4,1,0,0,3,2,2,1,0,3,2,0,2,110,110,2,4,0,1,1,0,3,2,1,6,1,0,3
110,0,5,0,0,0,0,0,0,2,3,7,3,1,2,4,0,5,2,1,2,1,0,0,3,1,4,1,0,5,0,0,1,111,111,0,3,0,2,1,0,2,5,1,5,0,0,2
111,0,6,0,0,4,0,0,0,5,3,2,2,3,2,0,0,9,3,0,2,2,0,0,5,2,2,0,0,3,0,0,0,112,112,1,6,0,2,1,0,3,3,2,7,0,0,1
112,0,0,0,0,4,0,0,0,8,0,0,5,9,2,4,0,3,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,113,113,7,5,0,0,1,0,9,0,0,9,0,0,0
113,0,6,0,0,4,0,0,0,7,1,2,3,4,2,5,0,3,8,0,4,1,0,0,3,0,3,1,0,6,0,0,1,114,114,1,3,0,2,1,0,2,1,0,6,0,1,2
114,0,0,0,0,0,0,0,0,4,1,3,3,7,2,4,0,10,2,0,4,2,0,0,5,1,0,0,0,4,3,0,1,115,115,3,4,0,0,1,0,4,2,1,8,0,0,2
115,0,6,0,0,3,0,0,0,3,3,0,1,1,2,4,0,5,3,1,3,5,0,0,0,8,2,2,0,5,0,0,1,116,116,1,3,0,2,1,0,1,3,0,7,0,0,3
116,0,0,0,0,0,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0,0,0,0,4,0,0,0,0,5,0,0,4,117,117,0,4,0,0,1,0,4,4,0,5,0,2,0
117,0,0,0,0,3,0,0,0,6,3,5,3,9,0,0,0,1,3,1,4,0,0,0,3,1,2,2,0,5,0,0,2,118,118,2,4,0,0,1,0,3,2,1,6,0,1,0
118,0,0,0,0,3,0,0,0,6,1,5,2,7,0,5,0,3,4,1,2,0,0,0,4,3,4,1,0,3,2,0,1,119,119,1,3,0,1,1,0,2,3,0,5,0,1,5
119,0,5,0,0,0,0,0,0,2,4,4,2,0,0,4,0,5,5,3,1,1,0,0,6,2,1,1,0,3,0,0,2,120,120,1,4,0,1,1,0,2,1,2,7,0,0,4
120,0,0,0,0,0,0,0,0,6,0,5,3,0,2,5,0,8,0,0,0,0,0,0,2,0,4,0,0,5,0,0,0,121,121,0,3,0,2,1,0,0,9,0,5,0,0,4
121,0,0,0,0,2,0,0,0,1,5,8,2,0,2,3,0,7,4,0,0,0,0,0,3,3,2,0,0,2,0,0,0,122,122,0,2,0,1,1,0,1,0,0,7,0,0,6
122,0,6,0,0,4,0,0,0,4,3,3,3,7,0,4,0,8,4,1,2,1,0,0,5,1,5,0,0,3,1,0,0,123,123,1,5,0,1,1,0,3,2,1,4,1,0,2
123,0,0,0,0,2,0,0,0,4,6,6,3,0,0,4,0,9,2,1,2,0,0,0,2,1,2,0,0,3,0,0,0,124,124,0,2,0,3,1,0,1,2,0,7,0,0,6
124,0,0,0,0,3,0,0,0,7,0,4,2,9,0,0,0,3,2,0,2,0,0,0,5,0,0,0,0,5,0,0,0,125,125,7,6,0,0,1,0,2,0,4,9,0,0,0
125,0,5,0,0,0,0,0,0,1,3,6,2,7,0,3,0,7,3,1,3,1,0,0,2,4,4,1,0,4,1,0,1,126,126,2,3,0,3,1,0,2,2,1,5,0,1,3
126,0,0,0,0,4,0,0,0,7,0,2,3,9,0,2,0,2,5,0,7,5,0,0,3,0,0,2,0,5,0,0,2,127,127,4,7,0,0,1,0,0,0,4,7,0,0,0
127,0,6,0,0,0,0,0,0,3,4,2,2,1,0,3,0,5,3,3,1,2,0,0,3,4,3,2,0,2,0,0,0,128,128,2,5,0,1,1,0,3,1,0,6,1,0,4
128,0,6,0,0,3,0,0,0,3,5,9,3,0,0,0,0,9,0,0,2,0,0,0,5,0,4,0,0,0,2,0,2,129,129,0,2,0,0,1,0,0,3,0,3,0,0,9
129,0,6,0,0,2,0,0,0,4,2,3,2,2,2,1,0,9,5,1,3,2,0,0,4,3,3,1,1,2,0,0,1,130,130,2,3,0,2,1,0,2,1,1,5,0,0,5
130,0,5,0,0,0,0,0,0,4,1,6,3,8,0,4,0,8,5,0,1,0,0,0,3,0,0,0,0,6,0,0,1,131,131,0,4,0,0,1,0,3,3,0,8,0,2,0
131,0,6,0,0,0,0,0,0,2,4,5,2,4,0,3,0,5,2,1,1,1,0,0,2,4,3,1,0,3,1,0,1,132,132,1,3,0,1,1,0,2,3,0,5,0,0,5
132,0,6,0,0,0,0,0,0,7,2,6,4,9,0,7,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,133,0,5,0,0,2,0,5,0,2,9,0,0,2
133,0,0,0,0,3,0,0,0,2,2,5,2,1,2,6,0,5,3,2,1,1,0,0,2,3,2,0,0,3,0,0,1,134,134,1,2,0,1,1,0,1,4,0,6,0,0,6
134,0,0,0,0,3,0,0,0,2,3,2,1,0,0,2,0,5,6,4,3,1,0,0,4,5,4,0,0,4,0,0,2,135,135,1,3,0,2,1,0,3,1,0,3,0,0,3
135,0,0,0,0,2,0,0,0,3,0,5,3,2,2,4,0,8,9,1,4,0,0,0,4,4,1,1,0,4,0,0,2,136,136,0,3,0,1,1,0,0,0,0,6,0,0,5
136,0,0,0,0,4,0,0,0,5,3,6,2,4,0,3,0,8,2,1,3,2,0,0,4,2,2,0,0,4,0,0,1,137,137,2,4,0,1,1,0,2,3,2,6,0,0,3
137,0,0,0,0,4,0,0,0,4,2,7,3,5,2,5,0,9,3,0,2,1,0,0,4,0,2,0,0,5,0,0,2,138,138,1,4,0,0,1,0,2,5,1,6,0,0,2
138,0,0,0,0,3,0,0,0,8,2,2,3,2,1,4,0,3,6,2,4,4,0,0,4,0,0,0,0,3,0,0,0,139,139,1,5,0,0,1,0,4,1,2,9,0,0,2
